번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
76,3684,7410,4,1,3.67,2.44,4.14,5.25,2,2,-7.54,4.33,2,4.8,3.4,3.78,3.8,2,3.19,3.67,2.83,3.2,3.23,4,4.6,3,5.2,4.2,4.25,2.4,4.43,4
353,8139,23068,6,1,3.22,4.22,3.71,2.25,2,3.67,-0.35,3.67,1.75,2.2,1.4,4.56,4,3.4,3.99,4.83,2,3,3.28,1,3.8,1,2.4,2.05,1.5,5.2,1.65,2.86
412,9386,120,5,1,4.11,1.78,2,3.25,1.17,1,-4.08,2.17,1,4.4,4.2,1.11,2.4,1.6,1.7,3,2.17,3.4,2.86,5.8,6,1,5.6,4.6,4.25,2,4.63,1.71
66,3664,938,4,1,4.33,3.56,2.71,3.75,2.33,2,-2.85,2.83,2,2,3.2,3,3.2,3,3.07,3.33,3.17,3,3.17,2.4,2.8,2,2,2.3,3.5,2.4,4.05,2.71
730,15340,28779,5,1,3.56,3.56,4.86,5.75,4.17,2,-7.3,4.67,3.25,4.6,2,3.89,4.2,3.8,3.96,5,4.33,4.2,4.51,1.2,3.8,2.8,2.6,2.6,5.25,2.6,4.83,3.57
179,5219,16248,4,1,4.56,2.44,3.43,4.5,1,1,-8.36,3.33,1,1,1,5.11,5.8,3.8,4.9,3.67,2.67,2.6,2.98,1,1,1,1,1,2.25,1,4.13,1.86
626,12793,25358,5,1,4,3.78,3.86,5,3.5,3,-3.21,3.67,3.5,2.6,1.8,3.56,3.8,3.8,3.72,3.33,3.5,3.2,3.34,2.8,3.2,3.2,2.2,2.85,3.5,2.8,3.85,2.14
689,14289,31212,5,1,4.67,4.44,4.29,5.5,3.17,1,-8.9,4.33,2.5,3,2,5.44,4.8,4.6,4.95,5.33,4.33,3.8,4.49,5.2,6,3,3.6,4.45,2.75,1.8,3.98,2.57
309,7596,22460,5,1,4.78,5.33,5.14,6,6,5,-0.29,5,6,2.4,2.4,4.11,5.4,4.6,4.7,5.67,5.17,4,4.94,3.4,4.4,5.2,4,4.25,6,2.2,5.4,4.43
304,7490,14149,5,1,3.78,4.22,3.86,4.5,2.67,4.33,-0.88,3.83,3,3.8,2.8,3.22,4.2,3.6,3.67,4,2.5,3,3.17,1,1,1,1,1,4,3.6,3.7,3.14
